Epoch,Loss
0,402170.96875
100,36133.97265625
200,34802.515625
300,34269.26953125
400,34148.9609375
500,33794.3125
600,33699.09765625
700,33571.26171875
800,33520.421875
900,33433.171875
1000,33479.18359375
1100,33533.796875
1200,33291.0625
1300,33255.24609375
1400,33202.25390625
1500,33290.921875
1600,33187.796875
1700,28831.970703125
1800,28829.1171875
1900,28771.26171875
2000,28842.841796875
2100,28914.896484375
2200,28723.744140625
2300,28759.4140625
2400,28846.96875
2500,28776.99609375
2600,28727.830078125
2700,28811.40234375
2800,28741.017578125
2900,28668.279296875
3000,28701.23828125
3100,28678.888671875
3200,28600.96875
3300,28602.755859375
3400,28590.470703125
3500,28614.513671875
3600,28558.513671875
3700,28639.3125
3800,28705.19140625
3900,28599.361328125
4000,28571.45703125
4100,28542.693359375
4200,28537.146484375
4300,28725.841796875
4400,28533.74609375
4500,28515.8515625
4600,28538.396484375
4700,28540.232421875
4800,28491.8671875
4900,28509.296875
5000,28501.529296875
5100,28661.5234375
5200,28482.029296875
5300,28578.888671875
5400,28498.0625
5500,28464.3515625
5600,28514.130859375
5700,28488.462890625
5800,28453.322265625
5900,28500.244140625
6000,28472.66015625
6100,28489.453125
6200,28453.291015625
6300,28454.72265625
6400,28695.373046875
6500,28506.306640625
6600,28494.462890625
6700,28551.052734375
6800,28493.72265625
6900,28463.486328125
7000,28442.34765625
7100,28462.91796875
7200,28413.98046875
7300,28445.0546875
7400,28419.84375
7500,28415.423828125
7600,28418.51953125
7700,28787.859375
7800,28660.01171875
7900,28611.15625
8000,28574.10546875
8100,28544.66796875
8200,28539.501953125
8300,28520.09375
8400,28532.349609375
8500,28477.650390625
8600,28480.765625
8700,28484.96875
8800,28450.1484375
8900,28417.06640625
9000,28481.216796875
9100,28444.501953125
9200,28444.748046875
9300,28437.634765625
9400,28550.8828125
9500,28409.5859375
9600,28409.73046875
9700,28417.017578125
9800,28389.396484375
9900,29208.986328125
10000,28930.162109375
10100,28787.083984375
10200,28721.8125
10300,28647.2421875
10400,28627.66015625
10500,28614.60546875
10600,28611.69140625
10700,28543.337890625
10800,28520.166015625
10900,28523.900390625
11000,28522.380859375
11100,28483.818359375
11200,28477.1953125
11300,28467.857421875
11400,28471.474609375
11500,28459.5546875
11600,28449.97265625
11700,28438.376953125
11800,28422.033203125
11900,28459.490234375
12000,28435.724609375
12100,28404.763671875
12200,28403.201171875
12300,28436.662109375
12400,28394.794921875
12500,28389.630859375
12600,28404.83203125
12700,28390.939453125
12800,28392.34765625
12900,28383.220703125
13000,28401.236328125
13100,28412.23046875
13200,28411.87890625
13300,28348.2421875
13400,28354.642578125
13500,28349.666015625
13600,28340.09375
13700,28340.009765625
13800,28333.583984375
13900,28362.69921875
14000,28312.875
14100,28344.623046875
14200,28312.783203125
14300,28349.140625
14400,28325.365234375
14500,28323.197265625
14600,28299.109375
14700,28301.015625
14800,28294.201171875
14900,28302.14453125
15000,28296.11328125
15100,28307.9375
15200,28317.16796875
15300,28291.455078125
15400,28294.953125
15500,28304.806640625
15600,28301.544921875
15700,28286.25390625
15800,28285.123046875
15900,28281.234375
16000,28294.04296875
16100,28304.1484375
16200,28284.00390625
16300,28285.455078125
16400,28261.330078125
16500,28275.109375
16600,28271.43359375
16700,28263.611328125
16800,28270.412109375
16900,28286.876953125
17000,28281.3828125
17100,28256.310546875
17200,28269.2109375
17300,28287.802734375
17400,28272.755859375
17500,28258.71484375
17600,28259.767578125
17700,28272.505859375
17800,28272.646484375
17900,28263.119140625
18000,28257.873046875
18100,28246.9296875
18200,28275.0703125
18300,28250.25
18400,28244.017578125
18500,28273.11328125
18600,28265.72265625
18700,28239.849609375
18800,28250.923828125
18900,28270.181640625
19000,28232.859375
19100,28240.93359375
19200,28241.357421875
19300,28253.25
19400,28231.111328125
19500,28262.609375
19600,28273.912109375
19700,28235.98828125
19800,28234.359375
19900,28239.98046875
20000,28237.1328125
